BirdID	Cohort	CaptureDate	CaptureTime	Year	Tarsus	Bill	Wing	Mass	Sex	Sex
4431	1999	05-Oct-00	NA	2000	19.10000038	NA	74	28	0	female
4433	1999	26-May-00	NA	2000	19.60000038	NA	81	32	1	male
4434	1999	24-Mar-00	NA	2000	18.79999924	NA	75	29.20000076	0	female
4434	1999	06-Jun-02	NA	2002	18.20000076	NA	76	26.70000076	0	female
4435	1999	04-May-00	NA	2000	19.5	NA	77	NA	1	male
4435	1999	21-May-01	NA	2001	19.39999962	NA	80	29.60000038	1	male
4435	1999	20-Mar-02	NA	2002	18.89999962	NA	79	29.39999962	1	male
4435	1999	21-Mar-02	NA	2002	19	NA	79	27.60000038	1	male
4435	1999	13-Jul-03	08:20	2003	19.39999962	14	78	28	1	male
4435	1999	07-Mar-04	11:05	2004	19.60000038	13.30000019	78	26.39999962	1	male
4435	1999	09-Jun-04	17:40	2004	19.5	13.69999981	79	28.79999924	1	male
4435	1999	23-Jun-05	09:45	2005	19.5	13.69999981	79	28.70000076	1	male
4435	1999	20-Nov-05	09:50	2005	19.70000076	13.89999962	80	27.70000076	1	male
4435	1999	17-Aug-06	18:30	2006	19.20000076	13.89999962	79	30.20000076	1	male
4436	1999	24-Jul-00	NA	2000	18.29999924	NA	75	26.39999962	0	female
4436	1999	02-Oct-00	NA	2000	18.10000038	NA	76	28.20000076	0	female
4437	1999	23-Mar-00	NA	2000	18.29999924	NA	73	28.29999924	0	female
4437	1999	06-Jul-01	NA	2001	18.10000038	NA	75	25.10000038	0	female
4438	1999	25-Jun-00	NA	2000	18.79999924	NA	76	24.70000076	0	female
4438	1999	06-Oct-00	NA	2000	17.89999962	NA	75	28.29999924	0	female
4438	1999	14-Apr-01	NA	2001	18	NA	77	25.79999924	0	female
4439	1999	25-Mar-00	NA	2000	18.70000076	NA	79	30.39999962	1	male
4439	1999	15-Jun-00	NA	2000	18.89999962	NA	80	27.89999962	1	male
4439	1999	25-Jul-00	NA	2000	19.79999924	NA	79	28.5	1	male
4439	1999	03-Oct-00	NA	2000	18.79999924	NA	80	29.79999924	1	male
4439	1999	11-Oct-01	NA	2001	18.10000038	NA	78	29.79999924	1	male
4440	1999	24-Jul-00	NA	2000	17.70000076	NA	75	24.70000076	0	female
4440	1999	03-Oct-00	NA	2000	17.60000038	NA	76	27.20000076	0	female
4134	2000	08-Jun-01	NA	2001	19.10000038	NA	76	27.89999962	0	female
4137	2000	07-Jul-01	NA	2001	19	NA	79	28.60000038	0	female
4152	2000	03-Oct-00	NA	2000	17.5	NA	75	27.89999962	1	male
4152	2000	04-Oct-00	NA	2000	18.10000038	NA	76	30.10000038	1	male
4153	2000	20-Mar-01	NA	2001	18.29999924	NA	80	29.39999962	1	male
4153	2000	29-May-01	NA	2001	18.29999924	NA	81	26.60000038	1	male
4153	2000	23-May-02	NA	2002	18.20000076	NA	80	26.89999962	1	male
4153	2000	06-Jul-03	12:30	2003	18.79999924	12.39999962	79	26.25	1	male
4153	2000	01-May-04	15:30	2004	18.79999924	12.60000038	80	27.29999924	1	male
4153	2000	03-Jun-04	11:30	2004	NA	NA	NA	NA	1	male
4153	2000	22-Nov-04	18:49	2004	18.79999924	12.5	81	27.29999924	1	male
4153	2000	08-Aug-05	07:20	2005	18.5	12	79	26.70000076	1	male
4153	2000	20-Nov-05	09:40	2005	19	12.5	81	25.70000076	1	male
4157	2000	18-Jun-01	NA	2001	17.29999924	NA	76	28.20000076	0	female
4158	2000	03-Oct-00	NA	2000	17.60000038	NA	79	26.10000038	1	male
4158	2000	04-Oct-00	NA	2000	NA	NA	NA	NA	1	male
4158	2000	07-Jun-01	NA	2001	17.79999924	NA	80	26.79999924	1	male
4167	2000	03-Oct-00	NA	2000	18	NA	78	27.5	1	male
4168	2000	04-Oct-00	NA	2000	18.20000076	NA	75	28.10000038	0	female
4168	2000	12-Oct-01	NA	2001	18.20000076	NA	75	25.60000038	0	female
4168	2000	29-May-02	NA	2002	18.29999924	NA	75	26.60000038	0	female
4177	2000	03-Oct-00	NA	2000	17.5	NA	75	30.39999962	0	female
4177	2000	04-Oct-00	NA	2000	18	NA	76	26.5	0	female
4177	2000	31-May-01	NA	2001	17.70000076	NA	76	27.5	0	female
4177	2000	11-Jul-01	NA	2001	17.5	NA	74	26.60000038	0	female
4177	2000	20-Mar-02	NA	2002	18	NA	75	29	0	female
4177	2000	22-Mar-02	NA	2002	17.29999924	NA	75	29	0	female
4178	2000	02-Oct-00	NA	2000	18	NA	75	28.89999962	0	female
4178	2000	02-Jun-01	NA	2001	18.29999924	NA	75	25.70000076	0	female
4178	2000	04-Aug-01	NA	2001	17.39999962	NA	75	24.39999962	0	female
4213	2000	03-Oct-00	NA	2000	18.79999924	NA	77	31	0	female
4213	2000	04-Oct-00	NA	2000	19.20000076	NA	76	28.60000038	0	female
4213	2000	14-Apr-01	NA	2001	19.10000038	NA	77	28.70000076	0	female
4213	2000	26-Jun-03	04:30	2003	18.89999962	14.19999981	77	28	0	female
4216	2000	02-Oct-00	NA	2000	19.70000076	NA	76	31.5	0	female
4217	2000	05-Oct-00	NA	2000	19.20000076	NA	78	27.39999962	0	female
