"","species","log.LL","log.LMA","log.Nmass","log.Narea","log.Pmass","log.Parea","log.Amass","log.Aarea","log.Gs","log.Rdmass","log.Rdarea","Ca...Ci","biomass"
"1040","Lasiopetalum ferrugineum",1.38,2.08,0.064,0.147,-1.523,-1.439,1.88,0.91,2.15,0.63,-0.32,114.4,7.61907310399412
"1064","Leptospermum polygalifolium",0.87,1.96,0.116,0.078,-1.347,-1.384,2.05,0.93,2.31,1.15,0.11,80.5,12.7682608564524
"1065","Leptospermum trinervium",1.35,2.11,-0.069,0.041,-1.602,-1.493,1.57,0.65,2.02,1,0.2,101.6,4.55127686887305
"1098","Liriodendron tulipifera",0.72,1.77,0.27975,0.0525,-0.921,-1.036,2.23,1.01,2.65,1.12,-0.055,52.4,18.8858567387325
"1107","Lomatia silaifolia",1.44,2.15,-0.208,-0.063,-1.495,-1.349,1.67,0.77,2.04,0.91,-0.09,101.3,5.31317332540204
"1141","Lyonia lucida",1.275,2.31,-0.0955,0.2105,-1.464,-1.228,1.555,0.84,2.235,0.76,0.14,80.4,5.72334891718771
"1187","Melaleuca uncinata",1.22,2.56333333333333,0.0876666666666667,0.519333333333333,-1.132,-0.7,1.64,1.105,2.24,0.995,0.46,134.9,12.8687552213436
"1270","Olearia decurrens",1.05,2.19,0.235,0.426,-1.071,-0.88,1.89,1.01,1.97,1.09,0.2,193.5,13.670833191166
"1273","Olearia pimelioides",1.05,2.04,0.3785,0.422,-0.9145,-0.8705,1.755,0.825,1.895,1.18,0.245,150.8,15.8123901282789
"1326","Persoonia levis",1.66,2.26,-0.229,0.032,-1.62,-1.359,1.66,0.91,2.23,0.4,-0.25,93.3,2.10475824530935
"1327","Persoonia linearis",1.61,2.16,-0.116,0.039,-1.301,-1.146,1.67,0.87,2.34,0.58,-0.15,67,5.81270482693217
"1338","Philotheca difformis",1.355,2.345,0.154,0.498,-1.181,-0.8365,1.59,1.005,2.1,1.06,0.475,145.7,9.66915184696584
"1346","Phyllota phylicoides",1.35,2.08,0.093,0.17,-1.745,-1.668,1.71,0.92,2.35,1.03,0.25,76.4,6.31941813566682
"1360","Pimelea linifolia",1.1,1.76,0.172,-0.073,-1.276,-1.52,2.03,0.9,2.38,1.22,0.12,66.9,14.214378706132
"1361","Pimelea microcephala",0.88,1.91,0.489,0.394,-0.712,-0.807,2.12,1.03,1.99,1.42,0.34,185.9,20.0833862497455
"1429","Pomaderris ferruginea",1.06,1.99,0.108,0.103,-1.387,-1.393,1.97,0.88,2.13,0.75,-0.25,105.2,11.8339353163501
"1433","Populus deltoides",0.7,1.94,0.378333333333333,0.319,-0.6915,-0.76,2.21,1.17,2.77,1.15,0.1,55.8,20.0381856151214
"1440","Populus tremuloides",0.68,1.914,0.3318,0.245,-0.8355,-0.907,2.045,0.99,2.63,1.35,0.27,66.9,19.8663759498504
"1529","Pultenea daphnoides",0.97,1.97,0.29,0.264,-1.444,-1.47,1.98,0.98,2.13,0.89,-0.06,131.3,12.1818646740625
"1530","Pultenea flexilis",1.22,1.96,0.309,0.266,-1.347,-1.39,2.07,1,2.27,1.15,0.06,106.2,12.9396163646404
"1567","Quercus macrocarpa",0.78,1.96333333333333,0.355333333333333,0.324333333333333,-0.721,-0.738,2.2,1.165,2.62,1.25,0.23,52.6,19.7872470542357
"1648","Robinia pseudoacacia",0.66,1.72,0.536666666666667,0.254666666666667,-0.811,-1.114,2.39,0.97,2.47,1.28,0.005,77.6,20.2125749528736
"1732","Santalum acuminatum",1.24,2.49,-0.001,0.494,-1.194,-0.7,1.31,0.87,2.11,0.59,0.13,108,6.04936477193264
"1761","Senna artemisioides 1lft",1.29,2.54,0.298,0.645,-1.102,-0.756,1.51,1.11,2.18,1.15,0.75,167.2,11.6322346002499
"1762","Senna artemisioides 3lft",1.32,2.45,0.239,0.493,-1.071,-0.816,1.7,1.15,2.41,1.09,0.54,128.3,13.6394798065382
"1786","Solanum ferocissium",0.81,1.88,0.514,0.391,-0.886,-1.01,2.16,0.98,2.06,1.42,0.24,157.7,18.7195358466707
"1807","Spartothamnella puberula",0.98,1.97,0.472,0.437,-0.921,-0.955,2.09,1.12,2.17,1.52,0.57,169.4,20.0925718480947
"1843","Syncarpia glomulifera",1.36,2.17,-0.007,0.165,-1.398,-1.226,1.76,0.96,2.03,0.79,-0.04,146.8,6.41064292087699
"1844","Synoum glandulosum",1.07,1.96,0.201,0.165,-1.076,-1.111,1.87,0.81,1.88,0.96,-0.11,148.1,10.930099990292
"1939","Urera caracasana",0.48,1.795,0.5175,0.308,-0.678,-0.923,2.36,1.19,3.12,1.46,0.29,71.9,24.8564630515548
"1949","Vaccinium myrtillus",0.45,1.67666666666667,0.2872,-0.0204,-1.009,-1.269,2.015,0.745,2.4,1.03,-0.21,59.6,16.5546304281201
"2010","Xylomelum pyriforme",1.61,2.18,-0.061,0.122,-1.432,-1.249,1.8,1.02,2.16,0.59,-0.19,124.8,4.34539412030207
