,rating,year,max_players,log.play.time,two.players,three.players,weight,mech.pca.1,mech.pca.2,mech.pca.3,log.owned,log.n.ratings
orleans,8.07958,2014,4,1.95424250943932,2,2.27058823529412,3.103,-0.385309890120143,-0.197001483907866,0.91368115019242,4.04087912451579,3.95640857119583
android-netrunner,7.99019,2012,2,1.65321251377534,2.92705167173252,0,3.348,0.13550282646474,1.44245352384783,-0.025311223418434,4.51168287110139,4.31571850753632
brass-lancashire,8.01031,2007,4,2.25527250510331,1.75829383886256,2.43434343434343,3.8752,-0.763802012013039,0.673879936858499,0.15475288153248,4.05797023171071,4.03490907336775
le-havre,7.93054,2008,5,2.17609125905568,2.24215246636771,2.74338085539715,3.7607,-0.385309890120143,-0.197001483907866,0.91368115019242,4.30965145584932,4.28461118236977
tzolk-mayan-calendar,7.9414,2012,4,1.95424250943932,2.08823529411765,2.2695652173913,3.617,-1.20139090705678,-0.436410421479261,-0.161920190775092,4.3167878116021,4.26271206263173
viticulture-essential-edition,8.17487,2015,6,1.95424250943932,2.19047619047619,2.67272727272727,2.967,-0.763802012013039,0.673879936858499,0.15475288153248,3.96392942202656,3.78010119146791
codenames,7.88478,2015,8,1.17609125905568,1.29745042492918,1.25146198830409,1.365,-0.385309890120143,-0.197001483907866,0.91368115019242,4.69896131835952,4.49866887121955
time-stories,8.01968,2015,4,1.95424250943932,1.52380952380952,2.05172413793103,2.6633,1.50278273697397,1.09991954161846,0.802704559745605,4.24985847241737,4.04465733323487
concordia,7.98546,2013,5,2,1.93706293706294,2.34868421052632,3.1366,-1.5747977114558,0.987410991095382,-0.930517570255247,4.04816979876602,4.02077548819356
keyflower,7.93304,2012,6,2.07918124604762,2.04123711340206,2.39572192513369,3.3387,-0.314912279562281,-3.14800589132265,-1.33308391547169,4.16767171623002,4.08378918828798
7-wonders,7.83068,2010,7,1.47712125471966,1.49506903353057,2.16766467065868,2.3437,-1.49157388991466,1.51657564051332,-2.18618301617367,4.83569057149243,4.72498000273099
feast-odin,8.26556,2016,4,2.07918124604762,2.42608695652174,2.41836734693878,3.8218,0.36894229028301,-1.65218301597376,0.838385352335574,3.78368923634732,3.64591327503384
voyages-marco-polo,7.97561,2015,4,2,2.06369426751592,2.38513513513514,3.1864,-0.124293979405432,1.17404165828394,-1.35816723300963,4.02526489215451,3.97625824925705
caylus,7.85607,2005,5,2.17609125905568,2.10211946050096,2.60502692998205,3.8197,-0.385309890120143,-0.197001483907866,0.91368115019242,4.34662676753156,4.34321159017975
twilight-imperium-third-edition,7.92508,2005,6,2.47712125471966,1.0817843866171,1.52293577981651,4.2319,2.62379697268165,0.371853042377949,-0.224075852590042,4.24809593109413,4.18463465658627
eldritch-horror,7.9361,2013,8,2.38021124171161,2.13544668587896,2.20249221183801,3.3091,1.50278273697397,1.09991954161846,0.802704559745605,4.40567072172133,4.22729525039171
dead-winter-crossroads-game,7.84607,2014,5,2.32221929473392,1.35984848484848,2.09508196721311,3,1.12429061508107,1.97080096238482,0.043776291085665,4.52023454448225,4.37743375170339
patchwork,7.82014,2014,2,1.47712125471966,2.96621621621622,0,1.7068,-0.619845498333323,-2.18053045451075,0.769297837831475,4.46970422523106,4.29754166781816
race-galaxy,7.77204,2007,4,1.77815125038364,2.64532019704433,2.3288409703504,2.9717,0.13550282646474,1.44245352384783,-0.025311223418434,4.61944813787393,4.54230246556568
dominant-species,7.8587,2010,6,2.38021124171161,1.58102766798419,2.11032028469751,4.0305,1.81991774231592,-2.98280104837346,-1.79277529408871,4.14332712999205,4.11899180019598
lords-waterdeep,7.79445,2012,5,2.07918124604762,1.92982456140351,2.56161137440758,2.5048,-1.20139090705678,-0.436410421479261,-0.161920190775092,4.56179284060015,4.47417254095439
five-tribes,7.82556,2014,4,1.90308998699194,2.38066465256798,2.39344262295082,2.89,-0.174022430150893,-1.4950120752544,-0.208579315322462,4.37892454969758,4.25695815256093
roll-galaxy,7.84158,2014,5,1.65321251377534,1.94610778443114,2.58787878787879,2.7582,1.50278273697397,1.09991954161846,0.802704559745605,4.29320781664586,4.17597543174951
el-grande,7.80159,1995,5,2.07918124604762,1.15789473684211,1.61377245508982,3.0838,-1.66844347025759,0.656875836560748,0.049603717533032,4.25594754939894,4.27135362210248
dominion-intrigue,7.78874,2009,4,1.47712125471966,2.30735930735931,2.65254237288136,2.4435,-1.5747977114558,0.987410991095382,-0.930517570255247,4.52037871297756,4.37080905654549
star-wars-x-wing-miniatures-game,7.86952,2012,2,1.65321251377534,2.89824561403509,0,2.4709,1.50278273697397,1.09991954161846,0.802704559745605,4.46831778556491,4.23578087032756
fields-arle,8.2126,2014,2,2.07918124604762,2.81159420289855,0,3.9016,-0.385309890120143,-0.197001483907866,0.91368115019242,3.79622731402944,3.56808433131539
battlestar-galactica,7.77182,2008,6,2.47712125471966,1.03106796116505,1.29021558872305,3.2297,1.12429061508107,1.97080096238482,0.043776291085665,4.45747313470736,4.41082782784538
dominion,7.69411,2008,4,1.47712125471966,2.33068992862807,2.55442443226312,2.3744,-1.5747977114558,0.987410991095382,-0.930517570255247,4.86611003984438,4.75605006195928
sherlock-holmes-consulting-detective-thames-murder,7.84516,1981,8,2.07918124604762,2.58088235294118,2.30434782608696,2.7676,-0.385309890120143,-0.197001483907866,0.91368115019242,4.27077197242684,3.97076515978077
mombasa,8.00595,2015,4,2.17609125905568,1.73913043478261,2.15116279069767,3.8613,-0.769138631779814,1.42544942355008,-0.130460387417882,3.85131951264874,3.72057272036426
russian-railroads,7.82582,2013,4,2.07918124604762,2.16521739130435,2.34782608695652,3.4091,-0.385309890120143,-0.197001483907866,0.91368115019242,4.00052084093619,3.96416531062174
trajan,7.81206,2011,4,2.07918124604762,2.17605633802817,2.34814814814815,3.6737,-2.39087872839244,0.748002053523988,-2.00611891122276,4.07033345585306,3.99686176849067
tigris-euphrates,7.72005,1997,4,1.95424250943932,1.8015873015873,2.31159420289855,3.5288,-1.90806439596465,-1.87959312585041,-0.0851104840077,4.34871364746775,4.31011953734681
pandemic,7.67029,2008,4,1.65321251377534,2.12173038229376,2.32215447154472,2.43,-0.680578190471898,1.20304458627644,-1.10091256438595,4.96280010122357,4.80711541330202
