StudentID	Tarsus	Leg	BillWidth	GroupN	HandedNess
MG1011	18.3	L	7.1	F	L
MG1011	18.8	L	7	F	L
MP0501	17	L	8	F	R
MP0501	20	R	7	F	R
MP0501	18	R	8	F	R
MP0501	19	L	7	F	R
MS0706	20.5	L	7.9	F	R
MS0706	20.4	L	8	F	R
MS1510	18.3	L	6.4	F	R
MT2703	16.5	R	5.1	E	R
MT2703	16.4	R	5	E	R
MT2703	16.5	R	5.1	E	R
MT2703	16.4	R	5	E	R
NB0508	19.5	R	7.9	F	R
NB0508	19.6	R	8	F	R
NB1905	18.9	R	6	E	R
NB1905	18	R	6.5	E	R
NB1905	18.3	R	6.1	E	R
NB2709	20.2	L	8.1	F	R
ND0405	21.4	R	6.8	F	R
ND0405	21.4	R	6.9	F	R
nd2311	17.8	R	7.2	E	R
nd2311	17.8	R	7.2	E	R
ND2407	18	R	7.9	F	R
ND2407	17.9	R	8.1	F	R
ND2407	16.8	R	7.6	F	R
NL1502	16.6	R	7.7	E	R
NT3003	19.4	L	6.6	F	R
NT3003	18.7	L	6.4	F	R
OD2304	17.7	L	7.6	E	R
OD2304	18.4	R	7	F	R
OD2304	17.8	L	6	F	R
phb13	16.5	L	8	F	R
phb13	16.4	R	7.1	F	R
phb13	16.4	L	8.1	F	R
PJ1709	15.9	R	5.2	F	R
PJ1709	15.9	R	5.1	F	R
PMK2906	16.7	R	7	F	R
PMK2906	17.4	R	6.95	F	R
RA0893	15.5	R	5.6	I	R
RA0893	15.5	R	5.6	I	R
RA0893	16.3	R	6.8	I	R
RA2893	16.3	R	6.8	I	R
RCS1405	19.4	L	5.1	H	R
RCS1405	21.3	R	6	H	R
RD5993	18.5	L	6.6	I	R
RD5993	18.6	L	6.2	I	R
RD5993	18.5	L	5.8	I	R
RD5993	18.2	L	6.5	I	R
RD5993	18.5	L	6.6	I	R
RD5993	18.6	L	6.2	I	R
RD5993	18.5	L	5.8	I	R
RD5993	18.2	L	6.5	I	R
RG0101	21.6	R	6.3	I	R
RG0101	20.5	R	5.7	I	R
RG0101	21.6	R	6.3	I	R
RG0101	20.5	R	5.7	I	R
RJC2211	20.3	L	7	H	A
RM1993	19.2	R	6.6	I	R
RM1993	19.2	R	6.6	I	R
RR2505	20.7	L	8.9	H	L
RR2505	21.8	R	7	H	L
SB0709	16	R	6	H	R
SB1594	20.9	R	6.8	H	L
SE0602	19.3	L	6.9	H	R
SE0602	18.4	L	7.4	H	R
SE1416	18.7	L	6.9	H	R
SG1507	14	L	8.6	I	L
SG1507	14.5	R	7.9	I	L
SG1507	14	L	8.6	I	L
SG1507	14.5	R	7.9	I	L
SG2912	18.9	R	7.4	H	R
SG2912	21.3	R	6.9	H	R
SL2010	21.88	L	8.05	H	R
SM2407	16.4	L	5.6	I	R
SM2407	16.4	L	5.6	I	R
sr3316	17.8	L	5.2	I	R
sr3316	17.8	L	5.2	I	R
TB2109	16.7	R	9	I	R
TB2109	19.8	L	6.8	I	R
TB2109	19.6	R	6.7	I	R
TB2109	16.7	R	9	I	R
TB2109	19.8	L	6.8	I	R
TB2109	19.6	R	6.7	I	R
TL1012	17.9	L	6.3	H	R
VC1203	14	R	7.8	I	R
VC1203	14.9	R	8	I	R
VC1203	16.5	R	7.7	I	R
WSN1912	16.3	R	6.7	I	R
WSN1912	15.9	R	6.4	I	R
WSN1912	16.3	R	6.7	I	R
WSN1912	15.9	R	6.4	I	R
WZ0709	17.7	L	5.1	I	R
WZ0709	17.7	L	5.1	I	R
Y.CHEIF0202	18.1	L	7.5	H	A
Y.CHEIF0202	19.2	R	7.6	H	A
ww2310	19	L	5	J	R
ww2310	19.5	L	5	J	R
DM0607	16.2	R	5.6	J	R
DM0607	16.3	R	5.7	J	R
ED2311	15.9	L	6	J	R
DL1404	15.9	R	7.7	J	R
DL1404	16.5	R	7.4	J	R
AL0709	13.2	L	6.6	J	L
AL0709	144	R	6.2	J	L
JDCS2804	18.2	L	5.6	J	R
JDCS2804	18.4	L	5.3	J	R
AR1304	22.9	L	5.3	J	R
AR1304	23.2	L	6.1	J	R
IG1807	8.1	R	7.1	J	R
IG1807	7.9	R	7.6	J	R
yz0703	18.3	R	6.3	J	R
yz0703	18.7	R	6.6	J	R
ML1104	16.1	L	5.3	J	R
ML1104	16.2	L	5.9	J	R
JY1810	19.1	R	5.4	J	R
JY1810	19	R	5.5	J	R
AN1006	12.5	L	7.3	J	R
AN1006	12.9	R	7.5	J	R
LSY2509	26	R	8	J	R
LSY2509	18	L	8.8	J	R
WRS0510	15	R	7.4	J	L
FT0602	16	R	8	J	R
MC2010	7.9	R	5.1	J	L
ED2208	16.14	L	7.62	J	R
ED2208	16.47	L	8	J	R
ZT0907	20.15	R	6.6	J	R
ZT0907	19.92	R	6.7	J	R
LC2003	9.7	L	5.2	J	R
LC2003	9.5	L	5.59	J	R
MJT1912	7.2	L	7	J	R
MJT1912	7.1	L	7	J	R
JF1003	14.5	R	7.8	J	R
JF1003	13.5	R	7.8	J	R
TE1011	30.3	R	7.2	J	R
TE1011	13.9	L	6.4	J	R
LT2101	7	R	5.4	J	R
LT2101	8.6	L	5.6	J	R
ML0209	16.7	R	7.3	J	R
ML0209	16.3	R	7.3	J	R
ON0106	17.2	R	8.4	J	R
ON0106	18.1	R	7.9	J	R
AB 24/05/97	21	R	8	J	R
AB240597	21	R	8	J	R
YW1201	17.9	R	7.4	J	R
GB2303	20.5	R	8	J	R
GB2303	20	L	7	J	R
CL2801	17.7	R	7.8	J	R
CN2098	21.3	L	5.7	J	R
CL2801	16.8	R	7	J	R
PD0307	17	R	5.5	J	R
PD0307	16.5	R	7	J	R
CS3004	17.7	R	5.3	J	R
CS3004	16.9	R	6.7	J	R
SP2204	4.3	L	5.7	J	R
JCV0106	4.5	R	7.6	J	R
JCV0106	15	R	7.1	J	R
MG2302	21.4	L	6.6	J	R
MG2302	22.1	L	6.6	J	R
YNA0807	10	R	5	J	R
YNA0807	8.5	L	5	J	R
ZF0817	13.1	L	7.9	J	R
ZF0817	13.2	L	8.4	J	R
JL3009	14.15	R	5.35	J	R
JL3009	17.48	R	6.31	J	R
HLJC0411	13.4	L	7.6	J	R
LG2611	17.9	R	5.8	J	R
LG2611	18.3	R	5.8	J	R
OS1902	16.4	L	6.6	J	R
OS1902	17	R	8	J	R
DB1906	20.02	R	5.56	J	R
DB1906	20.03	R	7.4	J	R
HG0107	6.2	L	5.9	J	R
HG0107	6.4	L	6.3	J	R
AS1211	18	L	8	J	R
HO2801	18.7	R	6.6	J	A
HO2801	18.8	L	5.9	J	A
WZ0605	24.4	L	6.8	J	L
WZ0605	15	R	6.6	J	L
FN2311	15.8	R	5.3	J	R
FN2311	15.3	R	7.5	J	R
HG0206	16.9	L	7.7	J	R
HG0206	16.5	L	6.8	J	R
SJ1503	18.45	L	6.6	J	L
KE3095	17.3	R	5.4	J	R
IS1506	60.5	R	9	J	R
KF2406	16.8	R	5	J	R
Kf2406	16.9	R	5	J	R
KE3095	17	R	5	J	R
CM0405	16.4	R	8.3	J	R
